institution_id,display_name
UNIVERSITAT_POLITECNICA_DE_CATALUNYA,"Universitat Politècnica de Catalunya"
UNIVERSITY_OF_TURIN,"University of Turin"
UNIVERSITY_OF_FLORENCE,"University of Florence"
UNIVERSITY_OF_TURKU,"University of Turku"
NANKAI_UNIVERSITY,"Nankai University"
PONTIFICIA_UNIVERSIDAD_JAVERIANA,"Pontificia Universidad Javeriana"
UNIVERSITY_OF_TSUKUBA,"University of Tsukuba"
TU_BERGAKADEMIE_FREIBERG,"TU Bergakademie Freiberg"
UNIVERSITY_OF_KENT,"University of Kent"
UNIVERSITY_OF_PISA,"University of Pisa"
ANNA_UNIVERSITY,"Anna University, Chennai"
WESTERN_SYDNEY_UNIVERSITY,"Western Sydney University"
SOUTH_CHINA_UNIVERSITY_OF_TECHNOLOGY,"South China University of Technology"
UNIVERSITI_BRUNEI_DARUSSALAM,"Universiti Brunei Darussalam"
BELARUSIAN_STATE_UNIVERSITY,"Belarusian State University"
NOVA_UNIVERSITY_LISBON,"Universidade Nova de Lisboa"
UNIVERSITY_OF_CYPRUS,"University of Cyprus"
VITA_SALUTE_SAN_RAFFAELE_UNIVERSITY,"Vita-Salute San Raffaele University"
VIRGINIA_TECH,"Virginia Tech"
NATIONAL_TAIWAN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY,"National Taiwan University of Science and Technology"
NATIONAL_AND_KAPODISTRIAN_UNIVERSITY_OF_ATHENS,"National and Kapodistrian University of Athens"
UC_SANTA_CRUZ,"University of California, Santa Cruz"
UNIVERSITY_OF_ROME_TOR_VERGATA,"University of Rome Tor Vergata"
NORTHEASTERN_UNIVERSITY,"Northeastern University"
RUHR_UNIVERSITY_BOCHUM,"Ruhr University Bochum"
SEJONG_UNIVERSITY,"Sejong University"
UNIVERSITY_OF_SOUTHERN_QUEENSLAND,"University of Southern Queensland"
UNIVERSITY_OF_LIEGE,"University of Liège"
KAZAN_FEDERAL_UNIVERSITY,"Kazan Federal University"
KOC_UNIVERSITY,"Koç University"
AMIRKABIR_UNIVERSITY_OF_TECHNOLOGY,"Amirkabir University of Technology"
UNIVERSITY_OF_CANBERRA,"University of Canberra"
INSA_LYON,"Institut National des Sciences Appliquées de Lyon"
SATBAYEV_UNIVERSITY,"Satbayev University"
USI_LUGANO,"USI - Università della Svizzera italiana"
BIRKBECK_UNIVERSITY_OF_LONDON,"Birkbeck, University of London"
MASARYK_UNIVERSITY,"Masaryk University"
HSE_UNIVERSITY,"National Research University Higher School of Economics"
AMERICAN_UNIVERSITY_IN_CAIRO,"American University in Cairo"
AUCKLAND_UNIVERSITY_OF_TECHNOLOGY,"Auckland University of Technology"
GRAZ_UNIVERSITY_OF_TECHNOLOGY,"Graz University of Technology"
YESHIVA_UNIVERSITY,"Yeshiva University"
CONCORDIA_UNIVERSITY,"Concordia University"
OXFORD_BROOKES_UNIVERSITY,"Oxford Brookes University"
TECHNION,"Technion – Israel Institute of Technology"
BOGAZICI_UNIVERSITY,"Boğaziçi University"
UNIVERSITY_OF_DUNDEE,"University of Dundee"
CZECH_TECHNICAL_UNIVERSITY_IN_PRAGUE,"Czech Technical University in Prague"
DUBLIN_CITY_UNIVERSITY,"Dublin City University"
UNIVERSITY_OF_LIMERICK,"University of Limerick"
ASTON_UNIVERSITY,"Aston University"
UNIVERSITE_LAVAL,"Université Laval"
NATIONAL_TAIPEI_UNIVERSITY_OF_TECHNOLOGY,"National Taipei University of Technology"
IPB_UNIVERSITY,"IPB University"
LEIBNIZ_UNIVERSITY_HANNOVER,"Leibniz University Hannover"
UNIVERSITY_OF_WURZBURG,"University of Würzburg"
SOUTHEAST_UNIVERSITY_CHINA,"Southeast University"
UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY_BEIJING,"University of Science and Technology Beijing"
CENTRAL_SOUTH_UNIVERSITY,"Central South University"
